Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity,Bi-encoder similarity,Cross-encoder similarity,Cross-encoder inference
pair_85,collaborative_ssd_case_inspection,gpt-oss:20b,3,126,80.77714285714288,0.848414750157315,0.856850266456604,0.6413119,neutral
pair_86,collaborative_ssd_case_inspection,gpt-oss:20b,3,254,81.84250000000003,0.8925247300564587,0.8952770233154297,0.66690487,neutral
pair_87,collaborative_ssd_case_inspection,gpt-oss:20b,3,152,84.0542105263158,0.8579403351108024,0.8501748442649841,0.5626479,entailment
pair_88,collaborative_ssd_case_inspection,gpt-oss:20b,3,126,98.5229220779221,0.6526480232841616,0.8009131550788879,0.69909245,entailment
pair_89,collaborative_ssd_case_inspection,gpt-oss:20b,3,160,84.09805555555556,0.8260642032334541,0.8396924138069153,0.5235132,neutral
pair_90,collaborative_ssd_case_inspection,gpt-oss:20b,3,103,94.38240898058254,0.7447902648782493,0.7903581261634827,0.69472206,neutral
pair_91,collaborative_ssd_case_inspection,gpt-oss:20b,3,77,80.37627717391305,0.6055711902128925,0.8208101987838745,0.6695444,neutral
pair_92,collaborative_ssd_case_inspection,gpt-oss:20b,3,139,83.78117625899283,0.9171227949900795,0.8653919100761414,0.594745,entailment
pair_93,collaborative_ssd_case_inspection,gpt-oss:20b,3,204,88.81882462686569,0.902236858873735,0.8417089581489563,0.71083957,contradiction
pair_94,collaborative_ssd_case_inspection,gpt-oss:20b,3,122,79.40650273224045,0.8562530997811374,0.8189675807952881,0.5827242,neutral
pair_95,collaborative_ssd_case_inspection,gpt-oss:20b,3,44,101.45636363636366,0.5625145763260359,0.6886276006698608,0.69275934,contradiction
pair_96,collaborative_ssd_case_inspection,gpt-oss:20b,3,171,75.93939393939395,0.8956285756693524,0.8247320652008057,0.5947518,entailment
pair_97,collaborative_ssd_case_inspection,gpt-oss:20b,3,174,90.96020689655174,0.927000694098431,0.8998903632164001,0.7353862,neutral
pair_98,collaborative_ssd_case_inspection,gpt-oss:20b,3,137,81.37437956204381,0.8409584083555238,0.828026294708252,0.65678555,neutral
pair_99,collaborative_ssd_case_inspection,gpt-oss:20b,3,43,101.48654069767444,0.7942252954454508,0.7700703144073486,0.6711811,neutral
pair_100,collaborative_ssd_case_inspection,gpt-oss:20b,3,116,87.12306896551725,0.8317397709540998,0.7686938047409058,0.5993131,neutral
pair_101,collaborative_ssd_case_inspection,gpt-oss:20b,3,103,99.90776699029128,0.8765615914012286,0.7842849493026733,0.7053735,entailment
pair_102,collaborative_ssd_case_inspection,gpt-oss:20b,3,219,80.71332184403276,0.8496675474457939,0.872058093547821,0.5669302,neutral
pair_103,collaborative_ssd_case_inspection,gpt-oss:20b,3,114,73.13288288288288,0.836589898504895,0.7499346733093262,0.61311334,neutral
pair_104,collaborative_ssd_case_inspection,gpt-oss:20b,3,304,80.0050052966102,0.8796380849681128,0.8067061305046082,0.65874314,entailment
pair_105,collaborative_ssd_case_inspection,gpt-oss:20b,3,123,84.45365853658537,0.8392356777484827,0.8428223133087158,0.66634405,entailment
pair_106,collaborative_ssd_case_inspection,gpt-oss:20b,3,110,89.05147727272727,0.8241998228131153,0.7599937915802002,0.59853935,neutral
pair_107,collaborative_ssd_case_inspection,gpt-oss:20b,3,96,85.72625000000001,0.8014135507391479,0.8427037596702576,0.60749674,neutral
pair_108,collaborative_ssd_case_inspection,gpt-oss:20b,3,113,95.91936393805312,0.8434258325914329,0.7530477046966553,0.5901455,entailment
pair_109,collaborative_ssd_case_inspection,gpt-oss:20b,3,93,86.00806451612907,0.8509879902475376,0.7939696907997131,0.62144446,neutral
pair_110,collaborative_ssd_case_inspection,gpt-oss:20b,3,157,89.0561878980892,0.81792863214209,0.8610166907310486,0.6191495,neutral
pair_111,collaborative_ssd_case_inspection,gpt-oss:20b,3,119,86.0648646125117,0.8175678015631374,0.7710815668106079,0.5879925,neutral
pair_112,collaborative_ssd_case_inspection,gpt-oss:20b,3,63,75.87457142857146,0.6113764704304571,0.818996012210846,0.6692607,contradiction
pair_113,collaborative_ssd_case_inspection,gpt-oss:20b,3,166,90.30478055686645,0.8716194060738429,0.778317928314209,0.6713381,neutral
pair_114,collaborative_ssd_case_inspection,gpt-oss:20b,3,133,84.7634317585302,0.8877237755730945,0.8750066161155701,0.62955624,neutral
pair_115,collaborative_ssd_case_inspection,gpt-oss:20b,3,170,89.6263071895425,0.9154540039041156,0.8679664134979248,0.7022697,contradiction
pair_116,collaborative_ssd_case_inspection,gpt-oss:20b,3,136,73.72392156862747,0.8286011736847182,0.8565707802772522,0.7367181,entailment
pair_117,collaborative_ssd_case_inspection,gpt-oss:20b,3,125,77.27322500000001,0.8115408967082908,0.7807889580726624,0.5994658,neutral
pair_118,collaborative_ssd_case_inspection,gpt-oss:20b,3,58,103.16789655172414,0.7670461448699084,0.7404075264930725,0.7142204,neutral
pair_119,collaborative_ssd_case_inspection,gpt-oss:20b,3,133,77.33931495405183,0.8252860781476564,0.7745898365974426,0.56717634,neutral
pair_120,collaborative_ssd_case_inspection,gpt-oss:20b,3,166,81.18332329317272,0.6868487501813076,0.7900756001472473,0.5185329,contradiction
pair_121,collaborative_ssd_case_inspection,gpt-oss:20b,3,163,78.19854677914113,0.8511828245219843,0.8227562308311462,0.5767565,neutral
pair_122,collaborative_ssd_case_inspection,gpt-oss:20b,3,181,88.49661864406782,0.9192627678135217,0.8500810861587524,0.6966939,entailment
pair_123,collaborative_ssd_case_inspection,gpt-oss:20b,3,138,67.73928571428571,0.6927753679080993,0.776822566986084,0.47737005,contradiction
pair_124,collaborative_ssd_case_inspection,gpt-oss:20b,3,153,79.04665441176472,0.8573682551807412,0.8230680227279663,0.6446174,neutral
pair_125,collaborative_ssd_case_inspection,gpt-oss:20b,3,106,85.13826415094343,0.7547591369788548,0.7561873197555542,0.5768291,contradiction
pair_126,collaborative_ssd_case_inspection,gpt-oss:20b,3,168,90.19547619047623,0.8991150330743968,0.8973836898803711,0.7227268,neutral
pair_127,collaborative_ssd_case_inspection,gpt-oss:20b,3,117,98.7623076923077,0.8376969386569504,0.8571292161941528,0.7244197,entailment
pair_128,collaborative_ssd_case_inspection,gpt-oss:20b,3,128,85.32756944444445,0.8290733165400819,0.818936824798584,0.632937,neutral
pair_129,collaborative_ssd_case_inspection,gpt-oss:20b,3,92,84.86857142857144,0.7921042850092608,0.7981033325195312,0.7185187,entailment
pair_130,collaborative_ssd_case_inspection,gpt-oss:20b,3,106,93.33689320388352,0.8753355540555746,0.8563383221626282,0.7058242,neutral
pair_131,collaborative_ssd_case_inspection,gpt-oss:20b,3,200,86.14344444444448,0.928464388292013,0.9242366552352905,0.63283443,entailment
pair_132,collaborative_ssd_case_inspection,gpt-oss:20b,3,194,76.74590163934428,0.8667963367711458,0.8325014114379883,0.5940222,neutral
pair_133,collaborative_ssd_case_inspection,gpt-oss:20b,3,77,69.61627435064936,0.7856736549703263,0.7690057754516602,0.59939873,neutral
pair_134,collaborative_ssd_case_inspection,gpt-oss:20b,3,118,85.03832627118646,0.6689267077024812,0.8242337107658386,0.5036129,neutral
pair_135,collaborative_ssd_case_inspection,gpt-oss:20b,3,85,77.00171568627452,0.6813222091286438,0.7770803570747375,0.63249284,neutral
pair_136,collaborative_ssd_case_inspection,gpt-oss:20b,3,139,56.44279050042411,0.869311442270208,0.7588830590248108,0.6245211,neutral
pair_137,collaborative_ssd_case_inspection,gpt-oss:20b,3,193,86.51546256684493,0.9197380849407185,0.8600041270256042,0.69161844,entailment
pair_138,collaborative_ssd_case_inspection,gpt-oss:20b,3,183,92.54474385245904,0.8977614710155662,0.8916855454444885,0.7059264,entailment
pair_139,collaborative_ssd_case_inspection,gpt-oss:20b,3,53,100.80511792452833,0.7621803033421111,0.7824229001998901,0.6114291,contradiction
pair_140,collaborative_ssd_case_inspection,gpt-oss:20b,3,145,87.0968103448276,0.844065746970305,0.8024466037750244,0.6602686,neutral
pair_141,collaborative_ssd_case_inspection,gpt-oss:20b,3,87,94.8761206896552,0.43754693999629135,0.7835833430290222,0.6485791,contradiction
pair_142,collaborative_ssd_case_inspection,gpt-oss:20b,3,78,97.0194230769231,0.8330869924574386,0.8243984580039978,0.7180779,entailment
pair_143,collaborative_ssd_case_inspection,gpt-oss:20b,3,177,94.34614942528738,0.920005087638173,0.8631178736686707,0.6492765,neutral
pair_144,collaborative_ssd_case_inspection,gpt-oss:20b,3,103,86.16881674757282,0.3341180037942541,0.7419543266296387,0.56535685,entailment
pair_145,collaborative_ssd_case_inspection,gpt-oss:20b,3,247,86.99487637362638,0.938001351010274,0.8245688676834106,0.60690725,entailment
pair_146,collaborative_ssd_case_inspection,gpt-oss:20b,3,100,95.09559090909093,0.40920587866459296,0.786442756652832,0.6217598,entailment
pair_147,collaborative_ssd_case_inspection,gpt-oss:20b,3,207,91.69706521739133,0.7856827070167126,0.8209361433982849,0.5658817,contradiction
pair_148,collaborative_ssd_case_inspection,gpt-oss:20b,3,84,94.93214285714288,0.7479075011910539,0.8559961915016174,0.7029004,entailment
pair_149,collaborative_ssd_case_inspection,gpt-oss:20b,3,70,93.59535714285717,0.6774513985157853,0.8385918140411377,0.67053473,contradiction
pair_150,collaborative_ssd_case_inspection,gpt-oss:20b,3,127,85.16803149606301,0.8749013920734984,0.8435973525047302,0.55993545,contradiction
pair_151,collaborative_ssd_case_inspection,gpt-oss:20b,3,149,88.37458724832216,0.9026057546687084,0.8125701546669006,0.65691906,neutral
pair_152,collaborative_ssd_case_inspection,gpt-oss:20b,3,167,89.395377994012,0.8849391399776375,0.8788068890571594,0.56273574,contradiction
