Pair ID,Explanation,Modifications,Language model
pair_12,"'TR1 1 HRC' is cheaper, shorter, faster, and better than 'TR2 1 HRC CS 95'.","Rephrased to a simpler, more concise sentence, replacing repeated phrases with commas and removing redundant wording while keeping the comparison and attributes intact.",gpt-oss:20b
pair_13,"Plan 'TR1 1 HRC' is cheaper, shorter, faster, and better than 'TR1 2 HRC CS 95'.","Simplified phrasing to plain English, shortened statement, retained comparative meaning.",gpt-oss:20b
pair_14,"TR1 1 HRC costs less, takes less time, runs faster, and is better than TR2 2 HRC CS 95.","Reworded to simpler, concise language, combined comparisons into one sentence, removed repeated ""plan than"" phrases.",gpt-oss:20b
pair_15,"'TR1 1 HRC' is cheaper, shorter, faster, and better than 'TR1 3 HRC CS 95'.",Replaced repetitive phrasing with concise comparisons and used simpler wording.,gpt-oss:20b
pair_16,"'TR1 1 HRC' is cheaper, shorter, faster, and better than 'TR2 3 HRC CS 95'.","Rephrased the repeated comparisons into a concise list, removed the formal phrase ""plan than"", simplified wording, and shortened the sentence to its core meaning.",gpt-oss:20b
pair_17,"Plan 'TR2 1 HRC' has the same cost and number of tasks as 'TR1 2 HRC', but is faster.","Simplified language, removed redundant phrasing, shortened sentence.",gpt-oss:20b
pair_18,"TR2 1 HRC costs the same, has the same number of tasks, and is faster than TR2 2 HRC.","Rephrased to a single concise sentence, removed repeated phrasing, and used straightforward wording while preserving all comparisons.",gpt-oss:20b
pair_19,"TR2 1 HRC costs and has tasks just like TR1 3 HRC, but it finishes faster.","Simplified wording, shortened sentence, kept meaning that TR2 1 HRC costs and tasks same as TR1 3 HRC, but is faster.",gpt-oss:20b
pair_20,"Plan ‘TR2 1 HRC’ costs the same and has the same number of tasks as ‘TR2 3 HRC’, but it finishes faster.",Shortened and simplified the sentence; removed unnecessary repetition and made the comparison explicit.,gpt-oss:20b
pair_21,"TR2 1 HRC is cheaper, shorter, faster, and better than TR1 1 HRC CS 90.","Simplified language and combined statements into a single concise sentence, preserving the original meaning.",gpt-oss:20b
pair_22,"TR2 1 HRC costs the same and has the same number of tasks as the other plan, but it’s faster than TR2 1 HRC CS 90.",Shortened and simplified the sentence; clarified comparisons and omitted redundant phrasing.,gpt-oss:20b
pair_23,"TR2 1 HRC is cheaper, quicker, shorter, and better than TR1 2 HRC CS 90.","Simplified and shortened sentence, removed redundant wording, and used common adjectives to preserve meaning.",gpt-oss:20b
pair_24,"The plan ""TR2 1 HRC"" has the same cost and the same number of tasks as another plan, and it runs faster than ""TR2 2 HRC CS 90"".","Rephrased in plain English, removed redundant words and shortened the sentence, while preserving the meaning.",gpt-oss:20b
pair_25,"TR2 1 HRC is cheaper, shorter, faster, and better than TR1 3 HRC CS 90.",Simplified adjectives and omitted redundant wording; shortened sentence; kept comparison to same plans,gpt-oss:20b
pair_26,"TR2 1 HRC costs the same and has the same number of tasks as the other plan, but it’s faster than TR2 3 HRC CS 90.","Simplified wording, trimmed to essential points, removed redundant phrasing.",gpt-oss:20b
pair_27,"TR2 1 HRC is cheaper, shorter, faster, and better than TR1 1 HRC CS 95.","Simplified the sentence by removing repetitive 'plan than' clauses and merged all comparisons into a concise list. Used plain language like 'cheaper, shorter, faster, and better' instead of repeated comparatives.",gpt-oss:20b
pair_28,"The 'TR2 1 HRC' plan is cheaper, shorter, faster, and better than the 'TR2 1 HRC CS 95' plan.","Simplified comparison language, removed repeated phrasing, shortened sentence while preserving meaning.",gpt-oss:20b
pair_29,"TR2 1 HRC is cheaper, shorter, faster, and better than TR1 2 HRC CS 95.","Shortened, simplified language: removed redundant wordings and condensed into a single sentence.",gpt-oss:20b
pair_30,"TR2 1 HRC is cheaper, shorter, faster, and better than TR2 2 HRC CS 95.","Simplified to clear, short sentence, using easier words and removing ambiguous phrasing.",gpt-oss:20b
pair_31,"TR2 1 HRC is cheaper, shorter, faster, and better than TR1 3 HRC CS 95.","Replaced technical comparisons with plain adjectives, shortened to one sentence while keeping all comparative meanings (cheaper, shorter, faster, better).",gpt-oss:20b
pair_32,"TR2 1 HRC is cheaper, quicker, shorter, and better than TR2 3 HRC CS 95.","Shortened to: TR2 1 HRC is cheaper, quicker, shorter, and better than TR2 3 HRC CS 95.",gpt-oss:20b
pair_33,"Plan TR1 2 HRC costs the same, has the same number of tasks, and is faster than plan TR2 2 HRC.","Rephrased to simpler wording, removed unnecessary repetition, shortened the sentence, and clarified that TR1 2 HRC and TR2 2 HRC have equal cost and task count but TR1 2 HRC is faster.",gpt-oss:20b
pair_34,"'TR1 2 HRC' costs the same, has the same number of tasks, but is slower than 'TR1 3 HRC'.","Simplified phrasing to clear language and make statement concise while keeping all key comparisons: same cost, same task count, and slower performance than TR1 3 HRC.",gpt-oss:20b
pair_35,"'TR1 2 HRC' costs the same as 'TR2 2 HRC', has the same number of tasks as 'TR2 2 HRC', and runs faster than 'TR2 3 HRC'.","Simplified language, shortened text, clarified comparisons.",gpt-oss:20b
pair_36,"TR1 2 HRC is cheaper, shorter, faster, and better than TR1 1 HRC CS 90.","Replaced repetitive ""is X plan than"" phrasing with a concise list of attributes (cheaper, shorter, faster, better) attached directly to TR1 2 HRC, clarifying the comparison to TR1 1 HRC CS 90 in a single sentence.",gpt-oss:20b
pair_37,"Plan TR1 2 HRC costs the same and has the same number of tasks as the other plan, but it is faster than plan TR2 1 HRC CS 90.","Simplified wording, removed jargon, shortened length, clarified comparisons",gpt-oss:20b
pair_38,"TR1 2 HRC is cheaper, shorter, faster, and better than TR1 2 HRC CS 90.","Used simpler, more concise language, removed repeated structure, combined attributes in one list, shortened overall length.",gpt-oss:20b
pair_39,"TR1 2 HRC costs the same and has the same number of tasks as another plan, but it is faster than TR2 2 HRC CS 90.","Simplified the language, removed redundant qualifiers, and shortened the sentence while preserving meaning.",gpt-oss:20b
pair_40,"TR1 2 HRC is cheaper, shorter, faster, and better than TR1 3 HRC CS 90.","Simplified the wording and shortened the sentence to a single concise comparison, removing repeated phrasing while keeping all comparative points.",gpt-oss:20b
pair_41,"Plan TR1 2 HRC costs the same, has the same number of tasks, and runs faster than plan TR2 3 HRC CS 90.","Simplified wording, made the sentence shorter, retained cost and task count equivalence and speed comparison.",gpt-oss:20b
pair_42,"TR1 2 HRC is cheaper, quicker, shorter, and better than TR1 1 HRC CS 95.",Simplified the sentence by removing repeated wording and rephrasing; shortened from 18 words to 13 words while maintaining the same meaning.,gpt-oss:20b
pair_43,"TR1 2 HRC is cheaper, shorter, faster, and better than TR2 1 HRC CS 95.","Simplified the sentence by removing repetitive structures and unnecessary wording, and shortened it while keeping the comparison between the two plans.",gpt-oss:20b
pair_44,"'TR1 2 HRC' is cheaper, faster, shorter, and better than 'TR1 2 HRC CS 95'.","Simplified language, removed redundant phrasing, shortened sentence structure. The essence: 'TR1 2 HRC' is cheaper, faster, shorter, and better than 'TR1 2 HRC CS 95'.",gpt-oss:20b
pair_45,"TR1 2 HRC is cheaper, shorter, faster, and better than TR2 2 HRC CS 95.","Simplified phrasing, shortened text, preserved meaning",gpt-oss:20b
pair_46,"'TR1 2 HRC' is cheaper, shorter, faster, and better than 'TR1 3 HRC CS 95'.","Simplified and shortened the sentence by replacing 'is ... than' phrasing with a concise comparative list, and removed redundant phrasing.",gpt-oss:20b
pair_47,"TR1 2 HRC is cheaper, shorter, faster, and better than TR2 3 HRC CS 95.","Shortened and simplified the sentence, removed repetitive phrasing, used easier words.",gpt-oss:20b
pair_48,"Plan TR2 2 HRC costs the same and has the same number of tasks as other plans, but it is slower than plan TR1 3 HRC.",Simplified language; shortened sentence; clarified that TR2 2 HRC has the same cost and task count as other plans but is slower than TR1 3 HRC.,gpt-oss:20b
pair_49,"'TR2 2 HRC' costs the same, has the same number of tasks, and is faster than 'TR2 3 HRC'.","Simplified language, removed redundant wording, shortened sentence.",gpt-oss:20b
pair_50,"TR2 2 HRC is cheaper, shorter, faster, and better than TR1 1 HRC CS 90.","Simplified wording, removed repeated 'plan than', shortened sentence, kept comparison of features.",gpt-oss:20b
pair_51,"'TR2 2 HRC' costs the same, has the same number of tasks, and is faster than 'TR2 1 HRC CS 90'.","Rephrased for clarity, condensed, and replaced complex phrasing with simple language.",gpt-oss:20b
pair_52,"TR2 2 HRC is cheaper, shorter, faster, and better than TR1 2 HRC CS 90.","Simplified language and shortened the sentence, retaining the comparative meaning.",gpt-oss:20b
pair_53,"TR2 2 HRC costs the same and has the same number of tasks as other plans, and it is faster than TR2 2 HRC CS 90.","Simplified sentence structure, used easier words, shortened length, clarified that TR2 2 HRC has equal cost and task count compared to comparable plans, and noted it is faster than TR2 2 HRC CS 90.",gpt-oss:20b
pair_54,"TR2 2 HRC is cheaper, shorter, faster, and better than TR1 3 HRC CS 90.","Simplified language, shortened sentence, kept all comparisons.",gpt-oss:20b
pair_55,"TR2 2 HRC costs the same and has the same number of tasks as TR2 3 HRC CS 90, but it takes longer to complete.","Rephrase the sentence in simpler terms, remove awkward phrasing, shorten the statement while preserving meaning that TR2 2 HRC has equal cost and task count to TR2 3 HRC CS 90 but is slower.",gpt-oss:20b
pair_56,"TR2 2 HRC is cheaper, shorter, faster, and better than TR1 1 HRC CS 95.","Simplified the sentence by removing repetitive words and using a shorter structure, while preserving all comparative facts. Language is made more concise and easier to read.",gpt-oss:20b
pair_57,"TR2 2 HRC is cheaper, shorter, faster, and better than TR2 1 HRC CS 95.","Simplified wording, removed redundant phrases, combined comparative list into a single sentence",gpt-oss:20b
pair_58,"TR2 2 HRC is cheaper, takes less time, is faster, and works better than TR1 2 HRC CS 95.","Simplified language and abbreviated sentence, preserving all comparisons and meaning.",gpt-oss:20b
pair_59,"'TR2 2 HRC' is cheaper, shorter, faster, and better than 'TR2 2 HRC CS 95'.","Replaced repetitive wording ""is cheaper plan than and is shorter plan than and is faster plan than and is better plan than"" with concise phrasing ""is cheaper, shorter, faster, and better than"", removed redundant ""plan than"" tags, and simplified adjectives to maintain meaning.",gpt-oss:20b
pair_60,"TR2 2 HRC is cheaper, shorter, faster, and better than TR1 3 HRC CS 95.","Replaced repetitive phrases with a concise list of attributes, used simpler vocabulary, and shortened the overall sentence length. Removed unnecessary conjunctions and the word ""plan"" after each adjective.",gpt-oss:20b
pair_61,"'TR2 2 HRC' is cheaper, faster, shorter, and better than 'TR2 3 HRC CS 95'.","Simplified wording by removing repeated fragments and redundant ""plan"" usage, and shortened the sentence while keeping all comparative meanings.",gpt-oss:20b
pair_62,"TR1 3 HRC costs the same and has the same number of tasks as TR2 3 HRC, but it is faster.","Rephrased the sentence with simpler wording, removed redundant phrasing, and shortened the overall length while keeping the meaning that TR1 3 HRC has the same cost and task count as TR2 3 HRC but is faster.",gpt-oss:20b
pair_63,"TR1 3 HRC is cheaper, shorter, faster, and better than TR1 1 HRC CS 90.","Replaced complex comparative phrase with a concise list using commas: ""cheaper, shorter, faster, and better.""",gpt-oss:20b
pair_64,"TR1 3 HRC has the same cost and task count, but it is faster than TR2 1 HRC CS 90.","Simplified phrasing, shortened sentence, clarified comparisons while keeping meaning of cost, task count, and speed.",gpt-oss:20b
pair_65,"TR1 3 HRC is cheaper, shorter, faster, and better than TR1 2 HRC CS 90.","Simplified wording, eliminated repeated phrase ""plan than"", shortened sentence length, kept same comparisons.",gpt-oss:20b
pair_66,"Plan TR1 3 HRC costs the same and has the same number of tasks as TR2 2 HRC CS 90, but it finishes faster.","Simplified language, removed redundant phrasing, made sentence shorter, clarified comparison targets",gpt-oss:20b
pair_67,"TR1 3 HRC is cheaper, shorter, faster, and better than TR1 3 HRC CS 90.",Replaced repetitive clauses with a concise comparative sentence using simple adjectives and conjunctions.,gpt-oss:20b
pair_68,"Plan TR1 3 HRC has the same cost and the same number of tasks as plan TR2 3 HRC CS 90, but it is faster.","Simplified wording, removed repetitive phrases, and made the sentence shorter while preserving the meaning that TR1 3 HRC has the same cost and same number of tasks as TR2 3 HRC CS 90 and is faster.",gpt-oss:20b
pair_69,"TR1 3 HRC is cheaper, takes less time, works faster, and is better than TR1 1 HRC CS 95.","Simplified wording, removed repetitive phrasing, and shortened the sentence by using concise phrases.

Replaced the original structure with: 'TR1 3 HRC is cheaper, takes less time, works faster, and is better than TR1 1 HRC CS 95.'",gpt-oss:20b
pair_70,"TR1 3 HRC is cheaper, shorter, faster, and better than TR2 1 HRC CS 95.","Shortened the sentence, simplified language, removed repeated ’plan’ words while retaining all comparative attributes.",gpt-oss:20b
pair_71,"'TR1 3 HRC' is cheaper, shorter, faster, and better than 'TR1 2 HRC CS 95'.","Simplified the sentence by removing redundant phrasing and using commas to list attributes instead of repeating 'plan than', making the sentence shorter and easier to read.",gpt-oss:20b
pair_72,"TR1 3 HRC is cheaper, shorter, faster, and better than TR2 2 HRC CS 95.","Rephrased for clarity and brevity: combined the repeated comparisons into a single list, removed redundant phrasing, and used simple, direct wording.",gpt-oss:20b
pair_73,"TR1 3 HRC is cheaper, shorter, faster, and better than TR1 3 HRC CS 95.","Replaced the repetitive phrase ""is X plan than"" with concise comparative adjectives and removed extra words. Combined all comparisons into one sentence for brevity. Simplified language for easier understanding.",gpt-oss:20b
pair_74,"TR1 3 HRC is cheaper, shorter, faster, and better than TR2 3 HRC CS 95.","Replaced repetitive phrase ""is ... plan than"" with concise list of adjectives and a single comparison, removed filler words for clarity.",gpt-oss:20b
pair_75,"TR2 3 HRC is a cheaper, shorter, faster, and better plan than TR1 1 HRC CS 90.","Simplified language, shortened sentence, kept comparative meaning",gpt-oss:20b
pair_76,"The plan ‘TR2 3 HRC’ costs the same as the others, has the same number of tasks, and is faster than ‘TR2 1 HRC CS 90’.","Replaced complex phrasing with simple words, removed extra wording, shortened the sentence, maintained the meaning.",gpt-oss:20b
pair_77,"TR2 3 HRC is cheaper, shorter, faster, and better than TR1 2 HRC CS 90.",Replaced complex phrasing with straightforward comparison and removed redundancy; shortened the sentence while preserving all comparisons.,gpt-oss:20b
pair_78,"TR2 3 HRC costs the same as another plan, has the same number of tasks, and is faster than TR2 2 HRC CS 90.","Simplified wording, removed technical jargon, shortened the sentence, but kept all relationships: same cost, same tasks, faster than TR2 2 HRC CS 90.",gpt-oss:20b
pair_79,"TR2 3 HRC is cheaper, shorter, faster, and better than TR1 3 HRC CS 90.","Simplified the sentence by removing repeated ""is … plan than"" phrases, shortened it, and used clearer, easier words.",gpt-oss:20b
pair_80,"TR2 3 HRC costs the same and has the same number of tasks as the other plan, but is slower than TR2 3 HRC CS 90.","Rephrased to simpler, shorter language; retained meaning that TR2 3 HRC has same cost and same task count as the other plan(s), but runs slower than TR2 3 HRC CS 90.",gpt-oss:20b
pair_81,"""TR2 3 HRC"" is cheaper, shorter, faster, and better than ""TR1 1 HRC CS 95"".","Simplified language, shortened sentence, removed repetition, kept meaning.",gpt-oss:20b
pair_82,"TR2 3 HRC is cheaper, shorter, faster, and better than TR2 1 HRC CS 95.","Simplified wording, condensed sentences, maintained comparisons.",gpt-oss:20b
pair_83,"'TR2 3 HRC' is cheaper, shorter, faster, and better than 'TR1 2 HRC CS 95'.","Simplified grammar by removing repetitive ""plan than"" phrases, combined attributes into one sentence, used common words like cheaper, shorter, faster and better, and shortened overall length.",gpt-oss:20b
pair_84,"TR2 3 HRC is cheaper, shorter, faster, and better than TR2 2 HRC CS 95.","Simplified wording, shortened sentence, removed duplicate 'and' clauses",gpt-oss:20b
pair_85,"TR2 3 HRC is cheaper, shorter, faster, and better than TR1 3 HRC CS 95.","Simplified sentence, removed repetitive wording, used easier language, shortened overall length.",gpt-oss:20b
pair_86,"The TR2 3 HRC plan is cheaper, shorter, faster, and better than the TR2 3 HRC CS 95 plan.","Rephrased the original sentence into simpler and shorter language, removing repeated phrasing and using a single comparison: 'The TR2 3 HRC plan is cheaper, shorter, faster, and better than the TR2 3 HRC CS 95 plan.'",gpt-oss:20b
pair_87,"TR1 1 HRC CS 90 costs more, takes longer, runs slower, and is a worse plan than TR2 1 HRC CS 90.","Simplified comparative phrases and shortened the sentence; used easier language such as 'costs more', 'takes longer', 'runs slower', and 'is worse'; removed redundant words; kept original meaning and entities.",gpt-oss:20b
pair_88,"TR1 1 HRC CS 90 is cheaper, shorter, faster, and better than TR1 2 HRC CS 90.",Simplified comparison language; removed repeated 'plan than' phrasing; made sentence shorter and easier to read.,gpt-oss:20b
pair_89,"TR1 1 HRC CS 90 is more expensive, longer, slower, and worse than TR2 2 HRC CS 90.","Simplified and shortened language, removed repetitive phrasing, combined comparisons into a single list of adjectives.",gpt-oss:20b
pair_90,"'TR1 1 HRC CS 90' is cheaper, shorter, faster, and better than 'TR1 3 HRC CS 90'.","Simplified sentences, removed repeated 'plan' and 'than' phrases, condensed list of comparative attributes into a single clause.",gpt-oss:20b
pair_91,"TR1 1 HRC CS 90 is more expensive, longer, slower, and worse than TR2 3 HRC CS 90.","Reduced wordiness and simplified language, removed redundant comparison phrasing.",gpt-oss:20b
pair_92,"Plan TR1 1 HRC CS 90 is cheaper, shorter, faster, and better than plan TR1 1 HRC CS 95.",Shortened and simplified phrasing; removed repeated 'plan than' and simplified to list comparative adjectives; concise sentence.,gpt-oss:20b
pair_93,"TR1 1 HRC CS 90 is cheaper, shorter, faster, and better than TR2 1 HRC CS 95.","Simplified language, removed redundant words, made sentence shorter, kept all comparisons.",gpt-oss:20b
pair_94,"'TR1 1 HRC CS 90' is cheaper, shorter, faster, and better than 'TR1 2 HRC CS 95'.",Simplified wording and shortened the sentence by removing the repeated 'plan than' phrasing; kept the four comparisons in a single list.,gpt-oss:20b
pair_95,"TR1 1 HRC CS 90 has the same cost and number of tasks as TR2 2 HRC CS 95, but it is slower.","Simplified wording by replacing technical phrases with plain English, removed redundant 'plan with' phrasing, and shortened the overall sentence.",gpt-oss:20b
pair_96,"TR1 1 HRC CS 90 outperforms TR1 3 HRC CS 95 in price, length, speed, and quality.","Simplified language and shortened the sentence while preserving all comparative attributes (cheaper, shorter, faster, better).",gpt-oss:20b
pair_97,"Plan TR1 1 HRC CS 90 is cheaper, shorter, faster, and better than plan TR2 3 HRC CS 95.","Shortened and simplified the sentence, removing unnecessary words and making it concise.",gpt-oss:20b
pair_98,"TR2 1 HRC CS 90 is cheaper, shorter, faster, and better than TR1 2 HRC CS 90.","Removed repetitive phrasing, combined comparisons into a concise list, simplified sentence structure to use easier language.",gpt-oss:20b
pair_99,"'TR2 1 HRC CS 90' has the same cost and the same number of tasks as 'TR2 2 HRC CS 90', but it runs slower.","Simplified language, removed redundant clauses, shortened sentence, retained all relationships: equal cost, equal number of tasks, slower compared to the other plan.",gpt-oss:20b
pair_100,"TR2 1 HRC CS 90 is cheaper, shorter, faster, and better than TR1 3 HRC CS 90.","Simplified language, removed repetitive phrasing, shortened sentence while retaining all key comparisons.",gpt-oss:20b
pair_101,"TR2 1 HRC CS 90 has the same cost and same number of tasks as TR2 3 HRC CS 90, but it is slower.",Replaced technical phrasing with simple sentences: clarified that the plan has equal cost and task count to another plan but takes longer.,gpt-oss:20b
pair_102,"TR2 1 HRC CS 90 is cheaper, shorter, faster, and better than TR1 1 HRC CS 95.","Removed repetitive phrasing, used concise comparative phrasing, omitted unnecessary words, and shortened the overall sentence length while retaining all comparative meanings.",gpt-oss:20b
pair_103,"'TR2 1 HRC CS 90' beats 'TR2 1 HRC CS 95' — it’s cheaper, shorter, faster, and better.","Replaced complex comparisons with a clear, concise comparative statement, simplified wording, and shortened the sentence.",gpt-oss:20b
pair_104,"TR2 1 HRC CS 90 is cheaper, shorter, faster, and better than TR1 2 HRC CS 95.",Replaced repeated phrase with a concise list of comparative adjectives,gpt-oss:20b
pair_105,"TR2 1 HRC CS 90 is cheaper, faster, shorter, and better than TR2 2 HRC CS 95.","Simplified the comparison by using common words (cheaper, faster, shorter, better) and removing redundant phrasing; shortened the sentence while maintaining all comparative facts.",gpt-oss:20b
pair_106,"TR2 1 HRC CS 90 beats TR1 3 HRC CS 95—it’s cheaper, shorter, faster, and better.","Rephrased the sentence in simpler language, trimmed length, maintained comparisons of cheaper, shorter, faster, and better. Added concise wording.",gpt-oss:20b
pair_107,"Plan TR2 1 HRC CS 90 is cheaper, shorter, faster, and better than plan TR2 3 HRC CS 95.","Simplified language, removed repetition, shortened sentence, replaced repeated phrasing with list of adjectives.",gpt-oss:20b
pair_108,"TR1 2 HRC CS 90 is more expensive, longer, slower, and worse than TR2 2 HRC CS 90.","Rephrased for clarity, reduced length, used simpler wording",gpt-oss:20b
pair_109,"Plan TR1 2 HRC CS 90 costs the same and has the same number of tasks as another plan, but it finishes faster than plan TR1 3 HRC CS 90.","Clarified missing references, simplified phrasing, removed vague connectors, shortened sentence.",gpt-oss:20b
pair_110,"TR1 2 HRC CS 90 is more expensive, longer, slower, and worse than TR2 3 HRC CS 90.",Replaced complex comparative phrasing with simple adjectives and shortened sentence.,gpt-oss:20b
pair_111,"""TR1 2 HRC CS 90"" is cheaper, shorter, faster, and better than ""TR1 1 HRC CS 95"".","Simplified language, reduced length, preserved meaning",gpt-oss:20b
pair_112,"'TR1 2 HRC CS 90' has the same cost and task count as 'TR2 1 HRC CS 95', but it is slower.","Simplified wording, removed extraneous repetition, shortened sentence length.",gpt-oss:20b
pair_113,"TR1 2 HRC CS 90 is cheaper, shorter, faster, and better than TR1 2 HRC CS 95.","Simplified wording, removed redundant 'plan than', used commas and 'and', shortened sentence.",gpt-oss:20b
pair_114,"Plan TR1 2 HRC CS 90 is pricier, takes more time, runs slower, and is worse than plan TR2 2 HRC CS 95.","Rewrote sentence using simpler words, removed repetitive structure, made it shorter while preserving meaning",gpt-oss:20b
pair_115,"'TR1 2 HRC CS 90' is cheaper, shorter, faster, and better than 'TR1 3 HRC CS 95'.","Simplified to one sentence, used easier words, combined comparison adjectives into a list, removed redundant phrasing.",gpt-oss:20b
pair_116,"Plan TR1 2 HRC CS 90 is cheaper, shorter, faster, and better than TR2 3 HRC CS 95.","Simplified wording, removed repeated conjunctions, shortened sentence, preserved comparative meaning.",gpt-oss:20b
pair_117,"Plan TR2 2 HRC CS 90 is cheaper, shorter, faster, and better than Plan TR1 3 HRC CS 90.",Simplified the sentence and removed repetitive wording to make it easier and shorter.,gpt-oss:20b
pair_118,"Plan TR2 2 HRC CS 90 costs the same and has the same number of tasks as another plan, but it runs slower than TR2 3 HRC CS 90.","Simplified the language to be easier to understand, shortened the sentence by removing repetition, and clarified the comparison with the other plan. The new narrative keeps the same core meaning: TR2 2 HRC CS 90 costs the same and has the same number of tasks as a comparable plan, but it is slower than TR2 3 HRC CS 90.",gpt-oss:20b
pair_119,"TR2 2 HRC CS 90 is cheaper, shorter, faster, and better than TR1 1 HRC CS 95.","Simplified by combining all comparisons into one phrase, removed explicit ontology tags, and used plain language.",gpt-oss:20b
pair_120,"TR2 2 HRC CS 90 is cheaper, shorter, faster, and better than TR2 1 HRC CS 95.","Simplified wording to easy language, shortened the sentence, retained comparative meanings.",gpt-oss:20b
pair_121,"Plan TR2 2 HRC CS 90 is cheaper, shorter, faster, and better than TR1 2 HRC CS 95.",Replaced original complex statement with a concise sentence that lists all better qualities of TR2 2 HRC CS 90 over TR1 2 HRC CS 95. Language is simpler and fewer words.,gpt-oss:20b
pair_122,"TR2 2 HRC CS 90 is cheaper, shorter, faster and better than TR2 2 HRC CS 95.",Simplified language; reduced sentences; preserved comparison attributes.,gpt-oss:20b
pair_123,"""TR2 2 HRC CS 90"" is cheaper, shorter, faster, and better than ""TR1 3 HRC CS 95"".","Simplified language, reduced words, kept all comparisons (cheaper, shorter, faster, better) between the two plans.",gpt-oss:20b
pair_124,"Plan TR2 2 HRC CS 90 is cheaper, shorter, faster, and better than Plan TR2 3 HRC CS 95.","simplified language, removed repetitive phrasing, condensed the sentence structure while keeping all comparisons.",gpt-oss:20b
pair_125,"Plan TR1 3 HRC CS 90 costs more, takes longer, runs slower, and is worse than plan TR2 3 HRC CS 90.","Simplified language, reduced length, removed redundant phrasing, combined comparisons into one sentence.",gpt-oss:20b
pair_126,"TR1 3 HRC CS 90 is cheaper, shorter, faster, and better than TR1 1 HRC CS 95.","Used simpler wording and removed repetitive 'plan' references, combined comparative adjectives into a single list.",gpt-oss:20b
pair_127,"TR1 3 HRC CS 90 has the same cost and number of tasks as another plan, but it is slower than TR2 1 HRC CS 95.","Rephrased the sentence using simpler words, condensed it, and clarified that TR1 3 HRC CS 90 has the same cost and number of tasks as another plan but is slower than TR2 1 HRC CS 95.",gpt-oss:20b
pair_128,"Plan TR1 3 HRC CS 90 is cheaper, shorter, faster, and better than TR1 2 HRC CS 95.","Rephrased to plain, concise sentence, removed redundant phrasing, kept all comparison aspects.",gpt-oss:20b
pair_129,"TR1 3 HRC CS 90 costs more, takes longer, moves slower, and is worse than TR2 2 HRC CS 95.","Simplified wording and shortened sentence while preserving comparisons (cost, length, speed, quality).",gpt-oss:20b
pair_130,"TR1 3 HRC CS 90 is cheaper, shorter, faster, and better than TR1 3 HRC CS 95.","Replaced dense comparative phrasing with a concise, comparative sentence; shortened the text and used simpler language.",gpt-oss:20b
pair_131,"TR1 3 HRC CS 90 is cheaper, shorter, and slower than TR2 3 HRC CS 95.","Rephrased to be simpler and more concise, removing repeated wording and streamlining the comparison.",gpt-oss:20b
