Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity
pair_41,collaborative_ssd_case_inspection,gpt-oss:20b,3,42,95.58042857142858,0.49878193147546335
pair_42,collaborative_ssd_case_inspection,gpt-oss:20b,3,176,87.06797368421053,0.8825667265526365
pair_43,collaborative_ssd_case_inspection,gpt-oss:20b,3,109,81.24048738532112,0.8207444386803056
pair_44,collaborative_ssd_case_inspection,gpt-oss:20b,3,204,83.92018716577542,0.8901644956912131
pair_45,collaborative_ssd_case_inspection,gpt-oss:20b,3,162,77.13680555555557,0.8382399515850456
pair_46,collaborative_ssd_case_inspection,gpt-oss:20b,3,108,73.17033333333337,0.677705384828419
pair_47,collaborative_ssd_case_inspection,gpt-oss:20b,3,142,75.43091549295775,0.731716183040512
pair_48,collaborative_ssd_case_inspection,gpt-oss:20b,3,60,101.595,0.65652860311855
pair_49,collaborative_ssd_case_inspection,gpt-oss:20b,3,44,99.53363636363638,0.7545611126563966
pair_50,collaborative_ssd_case_inspection,gpt-oss:20b,3,205,89.8723780487805,0.8336748691298359
pair_51,collaborative_ssd_case_inspection,gpt-oss:20b,3,96,96.30125000000001,0.8280047364819144
pair_52,collaborative_ssd_case_inspection,gpt-oss:20b,3,110,74.40121212121215,0.7833539024410812
pair_53,collaborative_ssd_case_inspection,gpt-oss:20b,3,69,102.0975652173913,0.8538735999738664
pair_54,collaborative_ssd_case_inspection,gpt-oss:20b,3,140,86.50468253968255,0.8937876923498789
pair_55,collaborative_ssd_case_inspection,gpt-oss:20b,3,41,97.38734756097563,0.776494591448557
pair_56,collaborative_ssd_case_inspection,gpt-oss:20b,3,144,76.877888986014,0.8009378151429221
pair_57,collaborative_ssd_case_inspection,gpt-oss:20b,3,118,85.98484934086632,0.7371731832871387
pair_58,collaborative_ssd_case_inspection,gpt-oss:20b,3,135,62.69687500000002,0.8772807066072191
pair_59,collaborative_ssd_case_inspection,gpt-oss:20b,3,147,83.0791836734694,0.8368638029378815
pair_60,collaborative_ssd_case_inspection,gpt-oss:20b,3,173,76.80151156069368,0.8586374002425567
pair_61,collaborative_ssd_case_inspection,gpt-oss:20b,3,124,86.51629032258067,0.8649116195603195
pair_62,collaborative_ssd_case_inspection,gpt-oss:20b,3,81,92.86583333333337,0.8294314432267051
pair_63,collaborative_ssd_case_inspection,gpt-oss:20b,3,205,89.72191369606006,0.8917474595710926
pair_64,collaborative_ssd_case_inspection,gpt-oss:20b,3,94,91.45300000000002,0.895837291230287
pair_65,collaborative_ssd_case_inspection,gpt-oss:20b,3,135,79.34416666666668,0.849967203763527
pair_66,collaborative_ssd_case_inspection,gpt-oss:20b,3,99,90.10568181818182,0.8726211083108271
pair_67,collaborative_ssd_case_inspection,gpt-oss:20b,3,89,81.51399812734083,0.8201751903972272
pair_68,collaborative_ssd_case_inspection,gpt-oss:20b,3,70,97.23394117647061,0.8012369397456499
pair_69,collaborative_ssd_case_inspection,gpt-oss:20b,3,97,84.02170962199315,0.7925766963636742
pair_70,collaborative_ssd_case_inspection,gpt-oss:20b,3,250,80.78500000000003,0.9202481645537786
pair_71,collaborative_ssd_case_inspection,gpt-oss:20b,3,93,70.11540322580647,0.687621853142486
pair_72,collaborative_ssd_case_inspection,gpt-oss:20b,3,155,88.00042365771814,0.85145553843597
pair_73,collaborative_ssd_case_inspection,gpt-oss:20b,3,86,69.5741666666667,0.482187425713807
pair_74,collaborative_ssd_case_inspection,gpt-oss:20b,3,318,77.75159666398716,0.8711757405186447
pair_75,collaborative_ssd_case_inspection,gpt-oss:20b,3,97,84.6215463917526,0.7821387517988523
pair_76,collaborative_ssd_case_inspection,gpt-oss:20b,3,57,90.32934210526317,0.809720649208973
pair_77,collaborative_ssd_case_inspection,gpt-oss:20b,3,193,85.56262500000001,0.8985489462437857
pair_78,collaborative_ssd_case_inspection,gpt-oss:20b,3,44,101.76663636363638,0.593421059403525
pair_79,collaborative_ssd_case_inspection,gpt-oss:20b,3,190,86.13512112197198,0.880896513151452
pair_80,collaborative_ssd_case_inspection,gpt-oss:20b,3,55,91.0736363636364,0.6377224898337484
pair_81,collaborative_ssd_case_inspection,gpt-oss:20b,3,124,75.60016129032262,0.8040551837061574
pair_82,collaborative_ssd_case_inspection,gpt-oss:20b,3,141,82.71821428571431,0.8106474318418218
pair_83,collaborative_ssd_case_inspection,gpt-oss:20b,3,122,83.51217668488161,0.8189939770147598
pair_84,collaborative_ssd_case_inspection,gpt-oss:20b,3,99,91.73376344086022,0.8329156911063029
pair_85,collaborative_ssd_case_inspection,gpt-oss:20b,3,126,80.77714285714288,0.848414750157315
pair_86,collaborative_ssd_case_inspection,gpt-oss:20b,3,254,81.84250000000003,0.8925247300564587
pair_87,collaborative_ssd_case_inspection,gpt-oss:20b,3,152,84.0542105263158,0.8579403351108025
pair_88,collaborative_ssd_case_inspection,gpt-oss:20b,3,126,98.5229220779221,0.6526480232841616
pair_89,collaborative_ssd_case_inspection,gpt-oss:20b,3,160,84.09805555555556,0.8260642032334543
pair_90,collaborative_ssd_case_inspection,gpt-oss:20b,3,103,94.38240898058254,0.7447902648782493
pair_91,collaborative_ssd_case_inspection,gpt-oss:20b,3,77,80.37627717391305,0.6055711902128925
pair_92,collaborative_ssd_case_inspection,gpt-oss:20b,3,139,83.78117625899283,0.9171227949900795
pair_93,collaborative_ssd_case_inspection,gpt-oss:20b,3,204,88.81882462686569,0.9022368588737348
pair_94,collaborative_ssd_case_inspection,gpt-oss:20b,3,122,79.40650273224045,0.8562530997811373
pair_95,collaborative_ssd_case_inspection,gpt-oss:20b,3,44,101.45636363636366,0.5625145763260357
pair_96,collaborative_ssd_case_inspection,gpt-oss:20b,3,171,75.93939393939395,0.8956285756693523
pair_97,collaborative_ssd_case_inspection,gpt-oss:20b,3,174,90.96020689655174,0.927000694098431
pair_98,collaborative_ssd_case_inspection,gpt-oss:20b,3,137,81.37437956204381,0.8409584083555238
pair_99,collaborative_ssd_case_inspection,gpt-oss:20b,3,43,101.48654069767444,0.7942252954454505
pair_100,collaborative_ssd_case_inspection,gpt-oss:20b,3,116,87.12306896551725,0.8317397709541
pair_101,collaborative_ssd_case_inspection,gpt-oss:20b,3,103,99.90776699029128,0.8765615914012287
pair_102,collaborative_ssd_case_inspection,gpt-oss:20b,3,219,80.71332184403276,0.8496675474457934
pair_103,collaborative_ssd_case_inspection,gpt-oss:20b,3,114,73.13288288288288,0.836589898504895
pair_104,collaborative_ssd_case_inspection,gpt-oss:20b,3,304,80.0050052966102,0.8796380849681131
pair_105,collaborative_ssd_case_inspection,gpt-oss:20b,3,123,84.45365853658537,0.8392356777484827
pair_106,collaborative_ssd_case_inspection,gpt-oss:20b,3,110,89.05147727272727,0.8241998228131155
pair_107,collaborative_ssd_case_inspection,gpt-oss:20b,3,96,85.72625000000001,0.8014135507391479
pair_108,collaborative_ssd_case_inspection,gpt-oss:20b,3,113,95.91936393805312,0.843425832591433
pair_109,collaborative_ssd_case_inspection,gpt-oss:20b,3,93,86.00806451612907,0.8509879902475375
pair_110,collaborative_ssd_case_inspection,gpt-oss:20b,3,157,89.0561878980892,0.81792863214209
pair_111,collaborative_ssd_case_inspection,gpt-oss:20b,3,119,86.0648646125117,0.8175678015631374
pair_112,collaborative_ssd_case_inspection,gpt-oss:20b,3,63,75.87457142857146,0.611376470430457
pair_113,collaborative_ssd_case_inspection,gpt-oss:20b,3,166,90.30478055686645,0.8716194060738428
pair_114,collaborative_ssd_case_inspection,gpt-oss:20b,3,133,84.7634317585302,0.8877237755730943
pair_115,collaborative_ssd_case_inspection,gpt-oss:20b,3,170,89.6263071895425,0.9154540039041157
pair_116,collaborative_ssd_case_inspection,gpt-oss:20b,3,136,73.72392156862747,0.8286011736847182
pair_117,collaborative_ssd_case_inspection,gpt-oss:20b,3,125,77.27322500000001,0.8115408967082911
pair_118,collaborative_ssd_case_inspection,gpt-oss:20b,3,58,103.16789655172414,0.7670461448699084
pair_119,collaborative_ssd_case_inspection,gpt-oss:20b,3,133,77.33931495405183,0.8252860781476565
pair_120,collaborative_ssd_case_inspection,gpt-oss:20b,3,166,81.18332329317272,0.6868487501813079
pair_121,collaborative_ssd_case_inspection,gpt-oss:20b,3,163,78.19854677914113,0.8511828245219841
pair_122,collaborative_ssd_case_inspection,gpt-oss:20b,3,181,88.49661864406782,0.9192627678135217
pair_123,collaborative_ssd_case_inspection,gpt-oss:20b,3,138,67.73928571428571,0.6927753679080992
pair_124,collaborative_ssd_case_inspection,gpt-oss:20b,3,153,79.04665441176472,0.8573682551807412
pair_125,collaborative_ssd_case_inspection,gpt-oss:20b,3,106,85.13826415094343,0.7547591369788549
pair_126,collaborative_ssd_case_inspection,gpt-oss:20b,3,168,90.19547619047623,0.8991150330743968
pair_127,collaborative_ssd_case_inspection,gpt-oss:20b,3,117,98.7623076923077,0.8376969386569504
pair_128,collaborative_ssd_case_inspection,gpt-oss:20b,3,128,85.32756944444445,0.8290733165400817
pair_129,collaborative_ssd_case_inspection,gpt-oss:20b,3,92,84.86857142857144,0.7921042850092606
pair_130,collaborative_ssd_case_inspection,gpt-oss:20b,3,106,93.33689320388352,0.8753355540555745
pair_131,collaborative_ssd_case_inspection,gpt-oss:20b,3,200,86.14344444444448,0.9284643882920132
pair_132,collaborative_ssd_case_inspection,gpt-oss:20b,3,194,76.74590163934428,0.866796336771146
pair_133,collaborative_ssd_case_inspection,gpt-oss:20b,3,77,69.61627435064936,0.7856736549703263
pair_134,collaborative_ssd_case_inspection,gpt-oss:20b,3,118,85.03832627118646,0.668926707702481
pair_135,collaborative_ssd_case_inspection,gpt-oss:20b,3,85,77.00171568627452,0.6813222091286438
pair_136,collaborative_ssd_case_inspection,gpt-oss:20b,3,139,56.44279050042411,0.8693114422702082
pair_137,collaborative_ssd_case_inspection,gpt-oss:20b,3,193,86.51546256684493,0.9197380849407183
pair_138,collaborative_ssd_case_inspection,gpt-oss:20b,3,183,92.54474385245904,0.8977614710155664
pair_139,collaborative_ssd_case_inspection,gpt-oss:20b,3,53,100.80511792452833,0.7621803033421108
pair_140,collaborative_ssd_case_inspection,gpt-oss:20b,3,145,87.0968103448276,0.8440657469703048
pair_141,collaborative_ssd_case_inspection,gpt-oss:20b,3,87,94.8761206896552,0.43754693999629124
pair_142,collaborative_ssd_case_inspection,gpt-oss:20b,3,78,97.0194230769231,0.8330869924574384
pair_143,collaborative_ssd_case_inspection,gpt-oss:20b,3,177,94.34614942528738,0.9200050876381729
pair_144,collaborative_ssd_case_inspection,gpt-oss:20b,3,103,86.16881674757282,0.33411800379425405
pair_145,collaborative_ssd_case_inspection,gpt-oss:20b,3,247,86.99487637362638,0.9380013510102739
pair_146,collaborative_ssd_case_inspection,gpt-oss:20b,3,100,95.09559090909093,0.409205878664593
pair_147,collaborative_ssd_case_inspection,gpt-oss:20b,3,207,91.69706521739133,0.7856827070167123
pair_148,collaborative_ssd_case_inspection,gpt-oss:20b,3,84,94.93214285714288,0.7479075011910539
pair_149,collaborative_ssd_case_inspection,gpt-oss:20b,3,70,93.59535714285717,0.6774513985157853
pair_150,collaborative_ssd_case_inspection,gpt-oss:20b,3,127,85.16803149606301,0.8749013920734982
pair_151,collaborative_ssd_case_inspection,gpt-oss:20b,3,149,88.37458724832216,0.9026057546687083
pair_152,collaborative_ssd_case_inspection,gpt-oss:20b,3,167,89.395377994012,0.8849391399776374
